,prices,hometypes,bathrooms,bedrooms,sizes,garage,school_rating,city,ages
281,1750000.0,Condo,1.0,0.0,1587.0,2.0,0.0, San Francisco,25.0
282,237874.0,Condo,1.0,0.0,595.0,1.0,4.7, San Francisco,127.0
283,1099000.0,Condo,1.0,0.0,1005.0,1.0,0.0, San Francisco,125.0
284,1175000.0,Condo,1.0,0.0,1175.0,0.0,8.0, San Francisco,102.0
285,1349000.0,Condo,1.0,3.0,1193.0,1.0,4.0, San Francisco,24.0
286,899000.0,Condo,2.0,2.0,1120.0,1.0,7.0, San Francisco,75.0
287,1195000.0,Condo,2.0,2.0,1034.0,0.0,4.0, San Francisco,119.0
288,895000.0,New,1.0,0.0,575.0,0.0,6.0, San Francisco,131.0
289,1179000.0,Condo,1.0,1.0,1566.0,0.0,2.7, San Francisco,107.0
290,859000.0,Condo,1.0,1.0,739.0,0.0,0.0, San Francisco,125.0
291,749000.0,Condo,1.0,1.0,580.0,1.0,3.3, San Francisco,115.0
292,680000.0,Condo,1.0,0.0,571.0,1.0,0.0, San Francisco,91.0
293,1068000.0,House,1.0,0.0,900.0,1.0,0.0, San Francisco,58.0
294,779000.0,Condo,1.0,0.0,1156.0,1.0,4.7, San Francisco,127.0
295,1139888.0,Condo,1.0,0.0,992.0,1.0,2.3, San Francisco,128.0
296,599000.0,Condo,1.0,0.0,805.0,0.0,3.7, San Francisco,118.0
297,1199000.0,Condo,2.0,3.0,1312.0,1.0,0.0, San Francisco,11.0
298,899000.0,Condo,1.0,1.0,660.0,1.0,6.0, San Francisco,128.0
299,1068888.0,Condo,2.0,1.0,1439.0,2.0,2.7, San Francisco,115.0
300,849000.0,Condo,1.0,1.0,718.0,0.0,3.3, San Francisco,118.0
301,1825000.0,Condo,2.0,3.0,1536.0,0.0,6.0, San Francisco,11.0
302,1650000.0,Condo,2.0,2.0,1332.0,1.0,3.3, San Francisco,105.0
303,825000.0,Condo,1.0,2.0,1134.0,1.0,4.7, San Francisco,99.0
304,549000.0,Condo,1.0,1.0,602.0,1.0,4.3, San Francisco,100.0
305,958000.0,House,1.0,1.0,994.0,0.0,3.7, San Francisco,22.0
306,1188000.0,Condo,1.0,1.0,1000.0,0.0,8.7, San Francisco,131.0
307,1188000.0,Condo,1.0,1.0,1000.0,0.0,8.7, San Francisco,131.0
308,1590000.0,House,1.0,1.0,2178.0,2.0,1.0, San Francisco,109.0
309,850000.0,Condo,1.0,1.0,672.0,0.0,2.7, San Francisco,129.0
310,788000.0,Condo,1.0,1.0,1063.0,0.0,3.7, San Francisco,112.0
311,648888.0,Condo,1.0,1.0,519.0,1.0,2.7, San Francisco,124.0
312,1115000.0,Condo,1.0,1.0,1490.0,0.0,2.0, San Francisco,16.0
313,2950000.0,House,1.0,1.0,2200.0,1.0,7.0, San Francisco,46.0
314,2200000.0,Condo,1.0,1.0,1800.0,2.0,7.7, San Francisco,109.0
315,599000.0,Condo,1.0,1.0,539.0,1.0,3.3, San Francisco,108.0
316,1399000.0,House,1.0,1.0,1960.0,2.0,0.7, San Francisco,78.0
317,509990.0,Condo,1.0,0.0,375.0,0.0,4.7, San Francisco,126.0
318,880000.0,Condo,1.0,0.0,858.0,1.0,6.3, San Francisco,118.0
319,468000.0,Condo,1.0,0.0,499.0,0.0,8.0, San Francisco,25.0
320,1325000.0,Foreclosure,1.0,0.0,1553.0,1.0,6.3, San Francisco,18.0
321,1699950.0,House,1.0,0.0,1610.0,2.0,0.7, San Francisco,82.0
322,1338000.0,Condo,1.0,0.0,991.0,0.0,8.7, San Francisco,131.0
323,675000.0,Condo,1.0,0.0,679.0,1.0,0.0, San Francisco,120.0
324,525000.0,Condo,1.0,0.0,611.0,1.0,4.7, San Francisco,127.0
325,749000.0,Condo,2.0,2.0,1002.0,1.0,4.3, San Jose,99.0
326,1279000.0,House,3.0,5.0,2551.0,0.0,3.0, San Jose,86.0
327,1498000.0,House,3.0,4.0,1987.0,2.0,5.7, San Jose,89.0
